Time,Temperature,Humidity,Gas,CO2
0.4,0.0,0.0,27888.0,500.0
1.5,0.0,0.0,27704.0,500.0
2.5,0.0,0.0,27888.0,500.0
3.6,120.0,0.0,0.0,27907.0
4.2,0.0,0.0,27907.0,500.0
5.3,0.0,0.0,27851.0,500.0
6.0,0.0,0.0,27833.0,500.0
7.0,0.0,0.0,28188.0,500.0
7.8,0.0,0.0,28000.0,500.0
10.0,0.0,0.0,28207.0,500.0
11.0,0.0,0.0,28495.0,500.0
12.1,0.0,0.0,28476.0,500.0
13.1,0.0,0.0,28553.0,500.0
14.6,0.0,0.0,28476.0,500.0
15.5,0.0,0.0,28322.0,500.0
16.5,0.0,0.0,27907.0,500.0
17.7,0.0,0.0,27907.0,500.0
18.8,121.0,0.0,0.0,27981.0
19.9,0.0,0.0,27741.0,500.0
21.1,0.0,0.0,27925.0,500.0
22.2,0.0,0.0,27722.0,500.0
23.2,0.0,0.0,27851.0,500.0
24.3,0.0,0.0,27667.0,500.0
25.5,0.0,0.0,27631.0,500.0
26.5,59.0,0.0,0.0,27704.0
27.7,0.0,0.0,27851.0,500.0
28.3,0.0,0.0,27833.0,500.0
29.3,0.0,0.0,27907.0,500.0
29.9,0.0,0.0,27741.0,500.0
30.6,0.0,0.0,27777.0,500.0
31.7,0.0,0.0,27851.0,500.0
32.7,0.0,0.0,27814.0,500.0
33.9,0.0,0.0,27963.0,500.0
35.1,0.0,0.0,27907.0,500.0
36.1,0.0,0.0,27814.0,500.0
37.2,0.0,0.0,27888.0,500.0
37.8,0.0,0.0,27963.0,500.0
38.9,0.0,0.0,27833.0,500.0
40.0,60.0,0.0,0.0,27907.0
41.1,59.0,0.0,0.0,27981.0
42.3,59.0,0.0,0.0,27888.0
43.4,0.0,0.0,28113.0,500.0
44.4,0.0,0.0,27963.0,500.0
45.6,0.0,0.0,28094.0,500.0
46.8,0.0,0.0,28188.0,500.0
47.9,0.0,0.0,28476.0,500.0
48.9,0.0,0.0,28690.0,500.0
49.5,0.0,0.0,28553.0,500.0
50.8,0.0,0.0,28749.0,500.0
51.7,0.0,0.0,28928.0,500.0
52.9,0.0,0.0,28988.0,500.0
54.0,0.0,0.0,29108.0,500.0
54.6,0.0,0.0,29230.0,500.0
55.8,0.0,0.0,29230.0,500.0
56.8,0.0,0.0,29498.0,500.0
58.0,60.0,0.0,0.0,29169.0
59.0,0.0,0.0,29353.0,500.0
59.7,0.0,0.0,29028.0,500.0
61.0,0.0,0.0,29068.0,500.0
62.8,0.0,0.0,28968.0,500.0
63.9,0.0,0.0,28888.0,500.0
64.8,0.0,0.0,28729.0,500.0
65.8,0.0,0.0,28848.0,500.0
66.9,120.0,0.0,0.0,28612.0
68.1,0.0,0.0,28612.0,500.0
69.2,0.0,0.0,28789.0,500.0
70.3,0.0,0.0,28789.0,500.0
71.1,0.0,0.0,28928.0,500.0
71.8,0.0,0.0,28968.0,500.0
73.7,59.0,0.0,0.0,29048.0
75.2,0.0,0.0,29028.0,500.0
76.7,0.0,0.0,29008.0,500.0
78.2,0.0,0.0,28908.0,500.0
79.7,0.0,0.0,29028.0,500.0
81.2,0.0,0.0,28789.0,500.0
82.7,0.0,0.0,28710.0,500.0
85.3,0.0,0.0,28789.0,500.0
88.2,0.0,0.0,28612.0,500.0
90.7,0.0,0.0,28908.0,500.0
91.7,0.0,0.0,28534.0,500.0
92.8,0.0,0.0,28592.0,500.0
95.7,0.0,0.0,28514.0,500.0
98.8,0.0,0.0,28379.0,500.0
100.1,0.0,0.0,28437.0,500.0
101.1,0.0,0.0,28322.0,500.0
103.7,0.0,0.0,28437.0,500.0
105.2,0.0,0.0,28245.0,500.0
106.0,0.0,0.0,28303.0,500.0
106.9,0.0,0.0,28188.0,500.0
107.7,0.0,0.0,28245.0,500.0
109.1,0.0,0.0,28418.0,500.0
110.0,0.0,0.0,28113.0,500.0
111.4,0.0,0.0,28132.0,500.0
112.3,0.0,0.0,28151.0,500.0
113.4,0.0,0.0,28360.0,500.0
114.4,0.0,0.0,28075.0,500.0
115.6,0.0,0.0,28113.0,500.0
116.7,0.0,0.0,28341.0,500.0
117.9,0.0,0.0,28132.0,500.0
119.0,0.0,0.0,28264.0,500.0
120.5,0.0,0.0,28019.0,500.0
121.2,0.0,0.0,28019.0,500.0
122.2,0.0,0.0,28264.0,500.0
123.4,120.0,0.0,0.0,28264.0
124.5,0.0,0.0,28113.0,500.0
125.1,0.0,0.0,28284.0,500.0
126.2,0.0,0.0,28094.0,500.0
127.4,120.0,0.0,0.0,28132.0
128.4,0.0,0.0,28264.0,500.0
129.1,0.0,0.0,28303.0,500.0
130.2,0.0,0.0,27907.0,500.0
131.4,0.0,0.0,27963.0,500.0
132.4,0.0,0.0,28038.0,500.0
133.5,0.0,0.0,28094.0,500.0
134.1,0.0,0.0,28132.0,500.0
135.3,0.0,0.0,28056.0,500.0
136.2,0.0,0.0,28341.0,500.0
137.5,120.0,0.0,0.0,28132.0
138.5,0.0,0.0,28132.0,500.0
139.7,0.0,0.0,28284.0,500.0
140.8,0.0,0.0,28284.0,500.0
141.9,0.0,0.0,28226.0,500.0
143.0,0.0,0.0,28207.0,500.0
144.2,0.0,0.0,28169.0,500.0
145.2,0.0,0.0,28151.0,500.0
146.3,0.0,0.0,28188.0,500.0
147.6,0.0,0.0,28038.0,500.0
148.6,0.0,0.0,28303.0,500.0
149.8,60.0,0.0,0.0,28592.0
150.9,0.0,0.0,28928.0,500.0
152.1,0.0,0.0,28808.0,500.0
153.1,0.0,0.0,28888.0,500.0
154.2,0.0,0.0,29048.0,500.0
155.3,0.0,0.0,29230.0,500.0
156.4,0.0,0.0,29048.0,500.0
157.6,0.0,0.0,29048.0,500.0
158.7,0.0,0.0,28968.0,500.0
159.8,0.0,0.0,29210.0,500.0
161.0,0.0,0.0,28848.0,500.0
162.1,0.0,0.0,28968.0,500.0
163.1,0.0,0.0,29048.0,500.0
164.3,0.0,0.0,28710.0,500.0
165.3,0.0,0.0,28868.0,500.0
166.4,0.0,0.0,28928.0,500.0
167.6,121.0,0.0,0.0,28848.0
168.8,0.0,0.0,28769.0,500.0
169.9,0.0,0.0,28456.0,500.0
171.0,0.0,0.0,28729.0,500.0
172.1,0.0,0.0,28690.0,500.0
173.2,0.0,0.0,28553.0,500.0
174.3,0.0,0.0,28322.0,500.0
175.4,0.0,0.0,28341.0,500.0
176.5,0.0,0.0,28360.0,500.0
177.7,0.0,0.0,28495.0,500.0
178.8,0.0,0.0,28729.0,500.0
180.0,0.0,0.0,29169.0,500.0
181.0,0.0,0.0,28928.0,500.0
182.1,0.0,0.0,29129.0,500.0
