Time,Temperature,Humidity,Gas,CO2
0.8,0.0,0.0,27888.0,120.0
2.0,0.0,0.0,27704.0,60.0
3.1,0.0,0.0,27888.0,60.0
4.5,0.0,0.0,27907.0,59.0
5.2,0.0,0.0,27759.0,60.0
6.5,0.0,0.0,27833.0,59.0
7.8,0.0,0.0,28188.0,120.0
10.0,0.0,0.0,28341.0,120.0
11.0,0.0,0.0,28322.0,120.0
12.0,0.0,0.0,28573.0,59.0
13.0,0.0,0.0,28729.0,120.0
14.6,0.0,0.0,28476.0,59.0
15.5,0.0,0.0,28322.0,60.0
16.5,0.0,0.0,28094.0,59.0
17.6,0.0,0.0,27944.0,60.0
18.7,0.0,0.0,27814.0,121.0
19.9,0.0,0.0,27796.0,60.0
21.0,0.0,0.0,27777.0,120.0
22.1,0.0,0.0,27814.0,60.0
23.1,0.0,0.0,27851.0,60.0
24.3,0.0,0.0,27814.0,59.0
25.4,0.0,0.0,27814.0,121.0
26.5,0.0,0.0,27814.0,59.0
27.6,0.0,0.0,27722.0,59.0
28.9,0.0,0.0,27833.0,120.0
29.9,0.0,0.0,27907.0,60.0
31.0,0.0,0.0,27777.0,120.0
32.1,0.0,0.0,27851.0,60.0
33.2,0.0,0.0,27814.0,121.0
34.3,0.0,0.0,27963.0,59.0
35.5,0.0,0.0,27907.0,120.0
36.5,0.0,0.0,27814.0,60.0
37.8,0.0,0.0,27888.0,119.0
38.8,0.0,0.0,27963.0,59.0
40.0,0.0,0.0,27907.0,60.0
41.1,0.0,0.0,28207.0,59.0
42.2,0.0,0.0,27925.0,59.0
43.3,0.0,0.0,27944.0,120.0
44.3,0.0,0.0,28000.0,60.0
45.6,0.0,0.0,27925.0,120.0
46.7,0.0,0.0,28207.0,120.0
47.8,0.0,0.0,28264.0,121.0
48.8,0.0,0.0,28592.0,59.0
49.9,0.0,0.0,28553.0,60.0
51.1,0.0,0.0,28749.0,60.0
52.2,0.0,0.0,28928.0,60.0
53.5,0.0,0.0,28988.0,59.0
54.6,0.0,0.0,29108.0,121.0
55.7,0.0,0.0,29333.0,120.0
56.8,0.0,0.0,29230.0,59.0
57.9,0.0,0.0,29333.0,60.0
59.0,0.0,0.0,29129.0,60.0
60.9,0.0,0.0,29028.0,59.0
62.8,0.0,0.0,28968.0,120.0
64.1,0.0,0.0,28888.0,59.0
65.1,0.0,0.0,28729.0,60.0
66.3,0.0,0.0,28848.0,60.0
67.5,0.0,0.0,28612.0,121.0
68.6,0.0,0.0,28612.0,60.0
69.7,0.0,0.0,28789.0,120.0
71.1,0.0,0.0,28789.0,120.0
71.8,0.0,0.0,28670.0,120.0
73.6,0.0,0.0,28888.0,59.0
75.2,0.0,0.0,29028.0,121.0
76.6,0.0,0.0,29008.0,60.0
78.2,0.0,0.0,28908.0,59.0
79.7,0.0,0.0,29048.0,120.0
81.2,0.0,0.0,28789.0,60.0
82.6,0.0,0.0,28710.0,121.0
85.2,0.0,0.0,28789.0,59.0
88.2,0.0,0.0,28612.0,60.0
90.7,0.0,0.0,28908.0,60.0
91.6,0.0,0.0,28534.0,59.0
92.8,0.0,0.0,28592.0,60.0
95.7,0.0,0.0,28514.0,60.0
98.7,0.0,0.0,28379.0,121.0
100.1,0.0,0.0,28437.0,60.0
101.0,0.0,0.0,28322.0,119.0
103.6,0.0,0.0,28437.0,59.0
105.1,0.0,0.0,28245.0,59.0
105.9,120.0,0.0,0.0,28303.0
107.0,0.0,0.0,28188.0,60.0
109.1,0.0,0.0,28245.0,120.0
110.0,0.0,0.0,28398.0,121.0
111.4,0.0,0.0,28132.0,121.0
112.7,0.0,0.0,28151.0,59.0
113.9,0.0,0.0,28360.0,60.0
114.8,0.0,0.0,28075.0,60.0
116.1,0.0,0.0,28113.0,119.0
117.2,0.0,0.0,28341.0,60.0
118.7,0.0,0.0,28132.0,121.0
119.4,59.0,0.0,0.0,27981.0
120.7,0.0,0.0,28188.0,120.0
121.6,60.0,0.0,0.0,28132.0
122.7,0.0,0.0,28264.0,60.0
123.9,0.0,0.0,28264.0,59.0
125.3,0.0,0.0,28113.0,120.0
126.2,0.0,0.0,28284.0,59.0
127.4,0.0,0.0,28113.0,120.0
128.4,0.0,0.0,28000.0,60.0
129.6,0.0,0.0,28303.0,60.0
130.7,0.0,0.0,27907.0,59.0
131.8,0.0,0.0,27963.0,60.0
133.0,0.0,0.0,28038.0,121.0
134.1,0.0,0.0,28094.0,120.0
