Time,Temperature,Humidity,Gas,CO2
1.0,0.0,31.0,0.0,0.0
1.4,31.94,21.0,18677.0,0.0
2.6,0.0,31.0,0.0,0.0
3.6,0.0,31.0,0.0,0.0
4.7,0.0,31.0,0.0,0.0
5.8,0.0,31.0,0.0,0.0
6.4,31.94,21.0,18710.0,0.0
7.4,0.0,31.0,0.0,0.0
8.5,0.0,31.0,0.0,0.0
9.7,0.0,31.0,0.0,0.0
10.8,0.0,31.0,0.0,0.0
11.4,0.0,31.0,0.0,31.94
12.3,0.0,31.0,0.0,0.0
13.5,0.0,31.0,0.0,0.0
14.5,0.0,31.0,0.0,0.0
15.6,0.0,31.0,0.0,0.0
16.4,0.0,31.0,0.0,31.93
17.3,0.0,31.0,0.0,0.0
18.4,0.0,31.0,0.0,0.0
19.4,0.0,31.0,0.0,0.0
20.4,0.0,31.0,0.0,0.0
21.5,0.0,31.0,0.0,31.93
22.1,0.0,31.0,0.0,0.0
23.4,0.0,31.0,0.0,0.0
24.3,0.0,31.0,0.0,0.0
25.4,0.0,31.0,0.0,0.0
26.6,0.0,31.0,0.0,31.94
27.5,0.0,31.0,0.0,0.0
28.7,0.0,31.0,0.0,0.0
29.9,0.0,31.0,0.0,0.0
31.0,0.0,31.0,0.0,0.0
31.4,31.93,21.0,18761.0,0.0
33.9,0.0,31.0,0.0,0.0
35.2,0.0,31.0,0.0,0.0
36.4,0.0,31.0,0.0,0.0
37.4,0.0,31.0,0.0,0.0
39.0,0.0,31.0,0.0,0.0
40.2,0.0,31.0,0.0,0.0
41.2,0.0,31.0,0.0,0.0
41.8,31.92,21.0,18845.0,0.0
42.8,0.0,31.0,0.0,0.0
44.0,0.0,31.0,0.0,0.0
45.0,0.0,31.0,0.0,0.0
46.1,0.0,31.0,0.0,0.0
46.7,31.92,21.0,18845.0,0.0
47.8,0.0,31.0,0.0,0.0
48.9,0.0,31.0,0.0,0.0
49.8,0.0,31.0,0.0,0.0
51.0,0.0,31.0,0.0,0.0
51.5,31.92,21.0,18845.0,0.0
52.8,0.0,31.0,0.0,0.0
53.7,0.0,31.0,0.0,0.0
54.9,0.0,31.0,0.0,0.0
56.0,0.0,31.0,0.0,0.0
56.5,31.92,21.0,18694.0,0.0
57.6,0.0,31.0,0.0,0.0
58.7,0.0,31.0,0.0,0.0
59.9,0.0,31.0,0.0,0.0
60.8,0.0,31.0,0.0,0.0
61.5,0.0,31.0,0.0,31.91
