Time,Temperature,Humidity,Gas,CO2
1.0,0.0,0.0,29728.0,60.0
2.4,0.0,0.0,29749.0,119.0
3.4,0.0,0.0,29876.0,59.0
4.5,0.0,0.0,29686.0,121.0
5.7,0.0,0.0,29686.0,59.0
6.8,0.0,0.0,29812.0,59.0
7.9,0.0,0.0,29728.0,60.0
8.9,0.0,0.0,29644.0,60.0
10.1,0.0,0.0,29623.0,120.0
11.3,0.0,0.0,29665.0,121.0
12.4,0.0,0.0,29686.0,121.0
13.4,0.0,0.0,29665.0,59.0
14.6,0.0,0.0,29834.0,120.0
15.7,0.0,0.0,29623.0,60.0
16.8,0.0,0.0,29728.0,60.0
17.8,0.0,0.0,29791.0,60.0
19.0,0.0,0.0,29728.0,59.0
20.1,0.0,0.0,29623.0,121.0
21.2,0.0,0.0,29623.0,59.0
22.2,0.0,0.0,29707.0,60.0
23.5,0.0,0.0,29518.0,120.0
24.5,0.0,0.0,29602.0,60.0
25.7,0.0,0.0,29581.0,121.0
26.7,0.0,0.0,29623.0,60.0
28.0,0.0,0.0,29644.0,120.0
29.0,0.0,0.0,29477.0,59.0
30.1,0.0,0.0,29728.0,120.0
31.3,0.0,0.0,29518.0,59.0
32.5,0.0,0.0,29518.0,119.0
33.6,0.0,0.0,29644.0,60.0
34.7,0.0,0.0,29477.0,120.0
35.7,0.0,0.0,29602.0,59.0
36.9,0.0,0.0,29436.0,120.0
38.0,0.0,0.0,29498.0,59.0
39.1,0.0,0.0,29539.0,60.0
40.3,0.0,0.0,29539.0,59.0
41.5,0.0,0.0,29812.0,120.0
42.5,0.0,0.0,29686.0,59.0
43.7,0.0,0.0,29477.0,120.0
44.8,0.0,0.0,29539.0,60.0
45.9,0.0,0.0,29728.0,60.0
47.1,0.0,0.0,29728.0,59.0
48.1,0.0,0.0,29686.0,60.0
49.3,0.0,0.0,29623.0,120.0
50.4,0.0,0.0,29644.0,120.0
51.5,0.0,0.0,29644.0,120.0
52.7,0.0,0.0,29665.0,60.0
53.8,0.0,0.0,29581.0,120.0
54.8,0.0,0.0,29539.0,59.0
55.9,0.0,0.0,29602.0,60.0
57.1,0.0,0.0,29728.0,59.0
58.2,0.0,0.0,29415.0,60.0
59.3,0.0,0.0,29560.0,60.0
60.3,0.0,0.0,29539.0,60.0
61.6,0.0,0.0,29581.0,121.0
62.7,0.0,0.0,29665.0,59.0
63.8,0.0,0.0,29394.0,120.0
64.8,0.0,0.0,29518.0,59.0
66.1,0.0,0.0,29518.0,60.0
67.2,0.0,0.0,29498.0,60.0
68.4,0.0,0.0,29539.0,120.0
69.5,0.0,0.0,29518.0,59.0
70.5,0.0,0.0,29518.0,59.0
71.6,0.0,0.0,29498.0,120.0
72.7,0.0,0.0,29560.0,60.0
73.9,0.0,0.0,29581.0,120.0
75.0,0.0,0.0,29477.0,59.0
76.1,0.0,0.0,29623.0,121.0
77.2,0.0,0.0,29374.0,59.0
78.3,0.0,0.0,29436.0,59.0
79.5,0.0,0.0,29477.0,59.0
80.6,0.0,0.0,29518.0,120.0
81.7,0.0,0.0,29539.0,59.0
82.9,0.0,0.0,29477.0,121.0
84.0,0.0,0.0,29415.0,59.0
85.1,0.0,0.0,29560.0,59.0
86.3,0.0,0.0,29436.0,59.0
87.4,0.0,0.0,29477.0,60.0
88.5,0.0,0.0,29415.0,59.0
89.6,0.0,0.0,29498.0,120.0
90.6,0.0,0.0,29834.0,121.0
91.8,0.0,0.0,29456.0,60.0
92.9,0.0,0.0,29749.0,120.0
94.0,0.0,0.0,29812.0,60.0
95.1,0.0,0.0,29477.0,120.0
96.3,0.0,0.0,29581.0,59.0
97.4,0.0,0.0,29456.0,60.0
98.5,0.0,0.0,29644.0,59.0
99.7,0.0,0.0,29707.0,59.0
100.8,0.0,0.0,29749.0,120.0
101.7,0.0,0.0,29983.0,60.0
103.0,0.0,0.0,29897.0,120.0
104.0,0.0,0.0,29983.0,59.0
105.3,0.0,0.0,30264.0,60.0
106.4,0.0,0.0,30091.0,59.0
107.5,0.0,0.0,30047.0,120.0
108.6,0.0,0.0,30199.0,60.0
109.8,0.0,0.0,30069.0,120.0
110.8,0.0,0.0,29876.0,59.0
112.1,0.0,0.0,30004.0,121.0
113.1,0.0,0.0,30112.0,59.0
114.2,0.0,0.0,30286.0,59.0
115.3,0.0,0.0,30156.0,60.0
116.5,0.0,0.0,30004.0,60.0
117.6,0.0,0.0,29834.0,120.0
118.7,0.0,0.0,29962.0,60.0
119.8,0.0,0.0,29876.0,120.0
120.9,0.0,0.0,30026.0,59.0
122.1,0.0,0.0,29834.0,120.0
123.2,0.0,0.0,29983.0,60.0
124.2,0.0,0.0,29728.0,60.0
125.3,0.0,0.0,29707.0,59.0
126.5,0.0,0.0,29728.0,60.0
127.6,0.0,0.0,29623.0,59.0
128.8,0.0,0.0,29876.0,120.0
129.9,0.0,0.0,29791.0,120.0
131.0,0.0,0.0,29644.0,60.0
132.1,0.0,0.0,29602.0,121.0
133.3,0.0,0.0,29665.0,59.0
134.4,0.0,0.0,29477.0,120.0
135.5,0.0,0.0,29539.0,59.0
136.5,0.0,0.0,29623.0,60.0
137.6,0.0,0.0,29728.0,59.0
138.8,0.0,0.0,29602.0,60.0
139.9,0.0,0.0,29665.0,121.0
141.0,0.0,0.0,29812.0,59.0
142.1,0.0,0.0,29560.0,120.0
143.3,0.0,0.0,29707.0,60.0
144.4,0.0,0.0,29623.0,60.0
145.5,0.0,0.0,29623.0,60.0
146.7,0.0,0.0,29728.0,121.0
147.8,0.0,0.0,29834.0,59.0
148.9,0.0,0.0,29728.0,120.0
150.0,0.0,0.0,29791.0,60.0
151.2,0.0,0.0,29623.0,120.0
152.3,0.0,0.0,29834.0,59.0
153.3,0.0,0.0,29333.0,60.0
154.6,0.0,0.0,29602.0,59.0
155.5,0.0,0.0,29581.0,59.0
156.8,0.0,0.0,29560.0,60.0
157.8,0.0,0.0,29602.0,60.0
159.1,0.0,0.0,29456.0,119.0
160.1,0.0,0.0,29665.0,60.0
161.2,0.0,0.0,29394.0,121.0
162.3,0.0,0.0,29728.0,59.0
163.5,0.0,0.0,29749.0,120.0
164.6,0.0,0.0,29962.0,60.0
165.6,0.0,0.0,29919.0,60.0
166.8,0.0,0.0,29876.0,59.0
168.1,0.0,0.0,29876.0,120.0
169.1,0.0,0.0,29940.0,59.0
170.2,0.0,0.0,30047.0,120.0
171.3,0.0,0.0,30047.0,60.0
172.5,0.0,0.0,29962.0,60.0
173.6,0.0,0.0,30026.0,59.0
174.7,0.0,0.0,30156.0,60.0
175.9,0.0,0.0,29919.0,121.0
177.0,0.0,0.0,30134.0,120.0
178.1,0.0,0.0,29940.0,120.0
179.1,0.0,0.0,29728.0,59.0
180.2,0.0,0.0,29602.0,120.0
181.4,0.0,0.0,29749.0,59.0
182.5,0.0,0.0,29855.0,60.0
183.6,0.0,0.0,29983.0,59.0
184.7,0.0,0.0,29834.0,60.0
185.9,0.0,0.0,29728.0,120.0
187.0,0.0,0.0,29665.0,60.0
188.1,0.0,0.0,29707.0,121.0
189.1,0.0,0.0,29770.0,59.0
190.4,0.0,0.0,29707.0,120.0
191.5,0.0,0.0,29749.0,60.0
192.5,0.0,0.0,29791.0,60.0
193.7,0.0,0.0,29602.0,59.0
194.8,0.0,0.0,29581.0,60.0
195.9,0.0,0.0,29791.0,59.0
197.0,0.0,0.0,29581.0,59.0
198.2,0.0,0.0,29518.0,120.0
199.3,0.0,0.0,29623.0,60.0
200.4,0.0,0.0,29665.0,120.0
201.4,0.0,0.0,29581.0,59.0
202.7,0.0,0.0,29581.0,121.0
203.7,0.0,0.0,29581.0,59.0
204.8,0.0,0.0,29707.0,59.0
205.9,0.0,0.0,29539.0,60.0
207.2,0.0,0.0,29560.0,119.0
208.3,0.0,0.0,29560.0,59.0
209.4,0.0,0.0,29560.0,121.0
210.5,0.0,0.0,29707.0,59.0
211.6,0.0,0.0,29581.0,59.0
212.8,0.0,0.0,29581.0,60.0
213.8,0.0,0.0,29770.0,60.0
215.0,0.0,0.0,29415.0,120.0
216.1,0.0,0.0,29665.0,121.0
217.2,0.0,0.0,29581.0,121.0
218.3,0.0,0.0,29518.0,59.0
219.5,0.0,0.0,29581.0,120.0
220.6,0.0,0.0,29686.0,60.0
221.6,0.0,0.0,29897.0,60.0
222.9,0.0,0.0,29962.0,59.0
223.9,0.0,0.0,30134.0,60.0
225.0,0.0,0.0,30199.0,59.0
226.1,0.0,0.0,30352.0,59.0
227.3,0.0,0.0,30069.0,120.0
228.4,0.0,0.0,30308.0,60.0
229.5,0.0,0.0,30330.0,120.0
230.6,0.0,0.0,30134.0,59.0
231.7,0.0,0.0,30199.0,60.0
232.9,0.0,0.0,30330.0,59.0
234.0,0.0,0.0,30156.0,120.0
235.1,0.0,0.0,30352.0,60.0
236.3,0.0,0.0,30177.0,120.0
237.4,0.0,0.0,30221.0,59.0
238.5,0.0,0.0,30396.0,121.0
239.6,0.0,0.0,30264.0,59.0
240.8,0.0,0.0,30264.0,59.0
241.9,0.0,0.0,30091.0,60.0
242.9,0.0,0.0,30330.0,60.0
244.1,0.0,0.0,30112.0,121.0
245.1,0.0,0.0,30330.0,60.0
246.4,0.0,0.0,30199.0,120.0
247.4,0.0,0.0,30177.0,59.0
248.7,0.0,0.0,30177.0,120.0
249.7,0.0,0.0,30112.0,60.0
250.8,0.0,0.0,29876.0,60.0
251.9,0.0,0.0,29834.0,59.0
253.1,0.0,0.0,29940.0,60.0
254.2,0.0,0.0,29770.0,120.0
255.3,0.0,0.0,30004.0,120.0
256.5,0.0,0.0,29749.0,120.0
257.4,0.0,0.0,30069.0,60.0
258.7,0.0,0.0,29876.0,121.0
259.6,0.0,0.0,29728.0,59.0
260.8,0.0,0.0,29707.0,120.0
262.0,0.0,0.0,29749.0,59.0
263.1,0.0,0.0,29855.0,60.0
264.2,0.0,0.0,29665.0,59.0
265.2,0.0,0.0,29623.0,60.0
266.5,0.0,0.0,29518.0,121.0
267.5,0.0,0.0,29707.0,59.0
268.7,0.0,0.0,29665.0,120.0
269.7,0.0,0.0,29686.0,60.0
271.0,0.0,0.0,29686.0,60.0
272.1,0.0,0.0,29581.0,60.0
273.2,0.0,0.0,29644.0,121.0
274.3,0.0,0.0,29581.0,60.0
275.5,0.0,0.0,29539.0,120.0
276.6,0.0,0.0,29686.0,59.0
277.7,0.0,0.0,29665.0,120.0
278.7,0.0,0.0,29560.0,59.0
279.9,0.0,0.0,29707.0,60.0
281.0,0.0,0.0,29707.0,59.0
282.1,0.0,0.0,29919.0,59.0
283.3,0.0,0.0,29539.0,120.0
284.4,0.0,0.0,29539.0,60.0
285.5,0.0,0.0,29623.0,120.0
286.7,0.0,0.0,29623.0,59.0
287.8,0.0,0.0,29498.0,121.0
288.9,0.0,0.0,29581.0,59.0
289.9,0.0,0.0,29707.0,59.0
291.0,0.0,0.0,29644.0,59.0
292.2,0.0,0.0,29623.0,60.0
293.3,0.0,0.0,29539.0,59.0
294.5,0.0,0.0,29834.0,120.0
295.5,0.0,0.0,29498.0,121.0
296.7,0.0,0.0,29539.0,59.0
297.8,0.0,0.0,29477.0,120.0
298.9,0.0,0.0,29644.0,60.0
300.1,0.0,0.0,29602.0,120.0
301.1,0.0,0.0,29686.0,59.0
302.2,0.0,0.0,29623.0,60.0
303.3,0.0,0.0,29728.0,59.0
304.5,0.0,0.0,29581.0,59.0
305.6,0.0,0.0,29560.0,120.0
306.7,0.0,0.0,29665.0,60.0
307.8,0.0,0.0,29623.0,120.0
309.0,0.0,0.0,29686.0,59.0
310.2,0.0,0.0,29477.0,59.0
311.2,0.0,0.0,29477.0,59.0
312.5,0.0,0.0,29498.0,120.0
313.5,0.0,0.0,29539.0,60.0
315.2,0.0,0.0,29686.0,59.0
316.3,0.0,0.0,29560.0,60.0
317.5,0.0,0.0,29518.0,121.0
318.6,0.0,0.0,29394.0,120.0
319.6,0.0,0.0,29581.0,120.0
320.7,0.0,0.0,29707.0,60.0
322.0,0.0,0.0,29539.0,120.0
323.0,0.0,0.0,29686.0,59.0
324.1,0.0,0.0,29707.0,60.0
325.3,0.0,0.0,29983.0,59.0
326.4,0.0,0.0,29919.0,59.0
327.5,0.0,0.0,30026.0,60.0
328.6,0.0,0.0,29983.0,60.0
329.7,0.0,0.0,29940.0,120.0
330.8,0.0,0.0,30134.0,59.0
332.0,121.0,0.0,0.0,29897.0
334.4,0.0,0.0,30091.0,120.0
335.9,0.0,0.0,30243.0,60.0
336.9,0.0,0.0,30330.0,120.0
338.0,0.0,0.0,30352.0,59.0
339.2,0.0,0.0,30507.0,121.0
340.3,0.0,0.0,30663.0,59.0
341.4,0.0,0.0,30308.0,59.0
342.5,0.0,0.0,30596.0,60.0
343.7,0.0,0.0,30418.0,60.0
344.8,0.0,0.0,30396.0,120.0
345.9,0.0,0.0,30047.0,59.0
347.1,0.0,0.0,30308.0,120.0
348.2,0.0,0.0,30199.0,59.0
349.3,0.0,0.0,30199.0,60.0
350.4,0.0,0.0,30004.0,60.0
351.5,0.0,0.0,30004.0,120.0
352.7,0.0,0.0,29834.0,60.0
353.8,0.0,0.0,29686.0,121.0
354.8,0.0,0.0,30091.0,59.0
356.1,0.0,0.0,29834.0,120.0
357.1,0.0,0.0,29749.0,60.0
358.2,0.0,0.0,29707.0,60.0
359.5,0.0,0.0,29644.0,59.0
360.5,0.0,0.0,29728.0,60.0
361.6,0.0,0.0,29456.0,120.0
362.7,0.0,0.0,29292.0,59.0
363.9,0.0,0.0,29333.0,120.0
365.0,0.0,0.0,29028.0,60.0
366.1,0.0,0.0,28988.0,120.0
367.2,0.0,0.0,29149.0,59.0
368.3,0.0,0.0,29028.0,121.0
369.5,0.0,0.0,29008.0,59.0
370.5,0.0,0.0,28888.0,59.0
371.7,0.0,0.0,28908.0,60.0
372.9,0.0,0.0,28868.0,119.0
374.0,0.0,0.0,28828.0,59.0
375.1,0.0,0.0,28908.0,121.0
376.2,0.0,0.0,28749.0,59.0
377.4,0.0,0.0,28729.0,59.0
378.5,0.0,0.0,28868.0,60.0
379.5,0.0,0.0,28651.0,60.0
380.6,0.0,0.0,28651.0,120.0
381.9,0.0,0.0,28592.0,121.0
382.9,0.0,0.0,28769.0,121.0
384.1,0.0,0.0,28612.0,59.0
385.1,0.0,0.0,28476.0,120.0
386.3,0.0,0.0,28710.0,59.0
387.4,0.0,0.0,28573.0,60.0
388.5,0.0,0.0,28789.0,59.0
389.7,0.0,0.0,28553.0,60.0
390.7,0.0,0.0,28553.0,120.0
391.8,0.0,0.0,28534.0,60.0
393.0,0.0,0.0,28573.0,120.0
394.1,0.0,0.0,28534.0,59.0
395.2,0.0,0.0,28456.0,120.0
396.3,0.0,0.0,28495.0,59.0
397.4,0.0,0.0,28341.0,59.0
398.6,0.0,0.0,28612.0,59.0
399.7,0.0,0.0,28418.0,60.0
400.8,0.0,0.0,28495.0,59.0
401.8,0.0,0.0,28456.0,60.0
403.1,0.0,0.0,28690.0,120.0
404.0,0.0,0.0,28360.0,59.0
405.1,0.0,0.0,28437.0,59.0
406.2,0.0,0.0,28651.0,120.0
407.5,0.0,0.0,28226.0,60.0
408.5,0.0,0.0,28476.0,120.0
409.6,0.0,0.0,28151.0,59.0
410.7,0.0,0.0,28284.0,121.0
411.9,0.0,0.0,28553.0,120.0
413.0,0.0,0.0,28495.0,59.0
414.1,0.0,0.0,28534.0,60.0
415.3,0.0,0.0,28264.0,60.0
416.4,0.0,0.0,28188.0,121.0
417.4,0.0,0.0,28322.0,60.0
418.6,0.0,0.0,28322.0,59.0
419.7,0.0,0.0,28207.0,59.0
420.9,0.0,0.0,28226.0,120.0
421.9,0.0,0.0,28132.0,59.0
423.0,0.0,0.0,28151.0,60.0
424.2,0.0,0.0,28169.0,59.0
425.3,0.0,0.0,28264.0,59.0
426.4,0.0,0.0,28264.0,59.0
427.4,0.0,0.0,28284.0,60.0
428.7,0.0,0.0,28226.0,120.0
429.7,0.0,0.0,28398.0,60.0
430.9,0.0,0.0,28245.0,121.0
431.9,0.0,0.0,28169.0,59.0
433.2,0.0,0.0,28245.0,120.0
434.3,0.0,0.0,28322.0,60.0
435.4,0.0,0.0,28132.0,120.0
436.5,0.0,0.0,28341.0,60.0
437.7,0.0,0.0,28245.0,121.0
438.8,0.0,0.0,28322.0,59.0
439.9,0.0,0.0,28264.0,120.0
440.9,0.0,0.0,28303.0,60.0
442.2,0.0,0.0,28264.0,119.0
443.2,0.0,0.0,28398.0,59.0
444.3,0.0,0.0,28456.0,60.0
445.5,0.0,0.0,28188.0,120.0
446.6,0.0,0.0,28245.0,59.0
447.8,0.0,0.0,28038.0,120.0
448.9,0.0,0.0,28132.0,59.0
450.0,0.0,0.0,28132.0,120.0
451.1,0.0,0.0,28341.0,120.0
452.1,0.0,0.0,28207.0,60.0
453.2,0.0,0.0,28151.0,59.0
454.4,0.0,0.0,28245.0,60.0
455.5,0.0,0.0,28341.0,120.0
457.1,0.0,0.0,28094.0,60.0
458.4,0.0,0.0,28379.0,60.0
459.7,120.0,0.0,0.0,28284.0
461.7,0.0,0.0,28418.0,120.0
462.9,0.0,0.0,28514.0,59.0
463.9,0.0,0.0,28437.0,60.0
465.1,0.0,0.0,28303.0,59.0
466.3,0.0,0.0,28303.0,120.0
467.5,0.0,0.0,28514.0,59.0
468.5,0.0,0.0,28360.0,120.0
469.6,0.0,0.0,28341.0,59.0
470.7,0.0,0.0,28418.0,60.0
471.9,0.0,0.0,28341.0,59.0
473.0,0.0,0.0,28341.0,60.0
474.1,0.0,0.0,28749.0,59.0
