Time,Temperature,Humidity,Gas,CO2
0.4,0.0,30.0,40460.0,501.0
1.6,0.0,30.0,40656.0,501.0
2.8,0.0,30.0,40343.0,501.0
3.8,0.0,30.0,40577.0,498.0
4.4,0.0,30.0,40227.0,498.0
5.4,0.0,0.0,30.0,40421.0
6.0,0.0,30.0,40538.0,498.0
7.2,0.0,30.0,40460.0,498.0
8.2,0.0,30.0,40499.0,498.0
8.8,0.0,30.0,40188.0,498.0
9.9,0.0,30.0,40227.0,501.0
11.0,0.0,0.0,30.0,40538.0
11.7,0.0,30.0,40538.0,501.0
12.7,0.0,30.0,40421.0,501.0
13.8,0.0,30.0,40460.0,501.0
14.4,0.0,30.0,40382.0,501.0
15.5,0.0,0.0,30.0,40814.0
16.1,0.0,30.0,40343.0,497.0
17.3,0.0,30.0,40814.0,497.0
18.4,0.0,30.0,40343.0,499.0
19.4,0.0,30.0,40499.0,499.0
20.2,0.0,0.0,31.0,24555.0
21.1,0.0,30.0,40538.0,499.0
22.3,0.0,0.0,30.0,40304.0
23.4,0.0,30.0,40577.0,500.0
24.6,0.0,30.0,40460.0,502.0
25.7,0.0,30.0,40974.0,502.0
26.8,0.0,30.0,40343.0,502.0
27.5,0.0,30.0,40343.0,504.0
28.6,0.0,30.0,40460.0,504.0
29.7,0.0,30.0,40266.0,504.0
30.7,0.0,30.0,40577.0,504.0
31.3,0.0,30.0,40150.0,504.0
32.6,0.0,30.0,40617.0,504.0
33.6,0.0,30.0,40382.0,503.0
34.7,0.0,30.0,40617.0,503.0
35.9,0.0,30.0,40343.0,503.0
36.8,0.0,30.0,40617.0,503.0
37.4,0.0,30.0,40538.0,503.0
38.5,0.0,0.0,30.0,40460.0
39.6,0.0,30.0,40577.0,501.0
40.8,0.0,30.0,40460.0,501.0
42.0,0.0,30.0,40460.0,501.0
43.1,0.0,30.0,40577.0,500.0
44.0,0.0,30.0,40696.0,500.0
44.6,0.0,30.0,40894.0,500.0
45.8,0.0,30.0,40696.0,497.0
46.9,0.0,30.0,40617.0,497.0
48.0,0.0,30.0,40499.0,497.0
48.6,0.0,30.0,40577.0,500.0
49.7,0.0,30.0,40735.0,500.0
50.3,0.0,30.0,40656.0,500.0
51.5,0.0,30.0,40577.0,500.0
52.5,0.0,30.0,40421.0,500.0
53.6,0.0,30.0,40656.0,500.0
54.8,0.0,30.0,40421.0,502.0
55.9,0.0,30.0,40934.0,502.0
57.0,0.0,30.0,40538.0,502.0
58.0,0.0,30.0,40735.0,502.0
59.2,0.0,0.0,30.0,40656.0
59.8,0.0,30.0,40577.0,502.0
61.0,0.0,30.0,40577.0,498.0
61.9,0.0,30.0,40974.0,498.0
62.6,0.0,30.0,40735.0,498.0
63.8,0.0,30.0,41054.0,500.0
64.8,0.0,30.0,40696.0,500.0
65.9,0.0,30.0,40775.0,500.0
66.6,0.0,30.0,40735.0,500.0
67.7,0.0,30.0,40814.0,500.0
68.8,0.0,30.0,40656.0,500.0
69.9,0.0,30.0,40775.0,500.0
70.9,0.0,30.0,40656.0,500.0
71.6,0.0,30.0,40617.0,500.0
72.6,0.0,30.0,40617.0,498.0
73.2,0.0,30.0,40854.0,498.0
74.4,0.0,30.0,41135.0,498.0
75.3,0.0,31.0,24398.0,0.0
76.0,0.0,30.0,40814.0,500.0
77.1,0.0,30.0,41054.0,500.0
77.7,0.0,30.0,40854.0,500.0
78.7,0.0,30.0,40854.0,500.0
79.4,0.0,30.0,40735.0,500.0
80.2,0.0,31.0,24744.0,0.0
81.1,0.0,30.0,41014.0,500.0
82.2,0.0,30.0,40894.0,499.0
83.2,0.0,30.0,41175.0,499.0
84.3,0.0,30.0,41095.0,499.0
85.3,0.0,31.0,24512.0,0.0
86.0,0.0,30.0,41054.0,498.0
87.3,0.0,30.0,40934.0,498.0
88.3,0.0,30.0,40854.0,500.0
88.9,0.0,30.0,40934.0,500.0
