reading number,time,temperature,humidity,gas,co2
142,60.0,0.0,46.0,19191.0,60.0
143,59.0,0.0,46.0,19173.0,60.0
144,60.0,0.0,46.0,19226.0,60.0
145,59.0,0.0,46.0,19586.0,59.0
146,59.0,0.0,45.0,20387.0,60.0
147,60.0,0.0,45.0,20791.0,60.0
148,59.0,0.0,44.0,20689.0,60.0
149,60.0,0.0,44.0,20486.0,59.0
150,59.0,0.0,44.0,20526.0,60.0
151,59.0,0.0,44.0,21127.0,60.0
152,59.0,0.0,45.0,20937.0,60.0
153,59.0,0.0,45.0,21652.0,60.0
154,59.0,0.0,44.0,21832.0,59.0
155,59.0,0.0,44.0,21474.0,60.0
156,59.0,0.0,44.0,21256.0,60.0
157,60.0,0.0,44.0,20854.0,59.0
158,60.0,0.0,44.0,21540.0,60.0
159,60.0,0.0,44.0,21924.0,60.0
160,59.0,0.0,44.0,21696.0,60.0
161,60.0,0.0,44.0,21452.0,59.0
162,60.0,0.0,44.0,21741.0,60.0
163,59.0,0.0,44.0,22062.0,60.0
164,59.0,0.0,44.0,21719.0,59.0
165,60.0,0.0,44.0,21430.0,60.0
166,59.0,0.0,44.0,21430.0,60.0
167,60.0,0.0,44.0,21855.0,60.0
168,60.0,0.0,44.0,21993.0,59.0
169,60.0,0.0,43.0,21924.0,60.0
170,59.0,0.0,43.0,22016.0,60.0
171,60.0,0.0,43.0,21855.0,60.0
172,60.0,0.0,44.0,21832.0,59.0
173,59.0,0.0,44.0,21674.0,60.0
174,60.0,0.0,44.0,22109.0,60.0
175,60.0,0.0,43.0,22659.0,59.0
176,59.0,0.0,43.0,22708.0,60.0
177,60.0,0.0,43.0,22513.0,60.0
178,60.0,0.0,43.0,22132.0,60.0
179,60.0,0.0,43.0,21924.0,59.0
180,60.0,0.0,43.0,21947.0,60.0
181,60.0,0.0,43.0,22156.0,60.0
182,60.0,0.0,43.0,22203.0,59.0
183,59.0,0.0,43.0,22062.0,60.0
184,59.0,0.0,43.0,22226.0,60.0
185,60.0,0.0,43.0,21855.0,60.0
186,59.0,0.0,43.0,22465.0,59.0
187,59.0,0.0,43.0,22297.0,60.0
188,60.0,0.0,43.0,22857.0,60.0
189,60.0,0.0,43.0,22733.0,59.0
190,60.0,0.0,43.0,23008.0,60.0
191,60.0,0.0,43.0,22345.0,60.0
192,60.0,0.0,43.0,22441.0,60.0
193,59.0,0.0,43.0,22297.0,59.0
194,60.0,0.0,43.0,22062.0,60.0
195,60.0,0.0,44.0,21540.0,60.0
196,59.0,0.0,44.0,21042.0,60.0
197,59.0,0.0,45.0,20791.0,59.0
198,60.0,0.0,45.0,20958.0,60.0
199,59.0,0.0,45.0,20791.0,60.0
200,59.0,0.0,45.0,20689.0,59.0
201,60.0,0.0,45.0,20709.0,60.0
202,60.0,0.0,46.0,20750.0,60.0
203,59.0,0.0,45.0,21000.0,60.0
204,60.0,0.0,45.0,21021.0,59.0
205,60.0,0.0,45.0,21021.0,60.0
206,59.0,0.0,45.0,20937.0,60.0
207,60.0,0.0,45.0,21000.0,60.0
208,60.0,0.0,45.0,21364.0,59.0
209,59.0,0.0,45.0,21386.0,60.0
210,60.0,0.0,45.0,21901.0,60.0
211,60.0,0.0,44.0,21321.0,59.0
212,60.0,0.0,44.0,21452.0,60.0
213,59.0,0.0,44.0,21170.0,60.0
214,60.0,0.0,45.0,21042.0,60.0
215,60.0,0.0,45.0,21299.0,59.0
216,59.0,0.0,45.0,21063.0,60.0
217,60.0,0.0,45.0,20833.0,60.0
218,60.0,0.0,45.0,20874.0,59.0
219,59.0,0.0,45.0,20874.0,60.0
220,60.0,0.0,45.0,20916.0,60.0
221,60.0,0.0,45.0,20791.0,60.0
222,60.0,0.0,45.0,20750.0,59.0
223,59.0,0.0,45.0,20587.0,60.0
224,60.0,0.0,45.0,20771.0,60.0
225,60.0,0.0,45.0,21234.0,60.0
226,59.0,0.0,45.0,21430.0,60.0
227,60.0,0.0,45.0,21430.0,60.0
228,60.0,0.0,45.0,21764.0,60.0
229,59.0,0.0,44.0,21970.0,59.0
230,59.0,0.0,44.0,22345.0,60.0
231,60.0,0.0,44.0,22345.0,60.0
232,60.0,0.0,44.0,22132.0,60.0
233,59.0,0.0,44.0,21540.0,59.0
